2026-06-05 14:01:19 | INFO     | biot.__main__ | Starting uvicorn on 0.0.0.0:8001
2026-06-05 14:01:19 | INFO     | biot.app.main | Starting BioT Sensor Assistant — Settings(provider='openai', model='gpt-4.1', db=..\BioT_Speech_IoT_LLM_App\data\sensor_database.db, mcp=http://localhost:8002/mcp, mqtt=172.20.10.2:1883, server=0.0.0.0:8001)
2026-06-05 14:01:19 | INFO     | biot.app.main | Probing API key (provider=openai, model=gpt-4.1) …
2026-06-05 14:01:22 | INFO     | biot.app.main | API key OK (provider=openai, model=gpt-4.1)
2026-06-05 14:01:22 | INFO     | biot.database.db_context | DbContext initialised (WAL, schema ready): ..\BioT_Speech_IoT_LLM_App\data\sensor_database.db
2026-06-05 14:01:22 | INFO     | biot.app.main | Recomputing rollup tables from existing raw data...
2026-06-05 14:01:23 | INFO     | biot.database.sensor_repository | recompute_all_rollups complete
2026-06-05 14:01:23 | INFO     | biot.app.main | Rollup tables ready
2026-06-05 14:01:24 | INFO     | biot.seeding.seeder | Seeded accel_data: 86400 rows (id 1451660–1538059)
2026-06-05 14:01:25 | INFO     | biot.seeding.seeder | Seeded gyro_data: 86400 rows (id 1432144–1518543)
2026-06-05 14:01:26 | INFO     | biot.seeding.seeder | Seeded magnet_data: 86400 rows (id 1427649–1514048)
2026-06-05 14:01:26 | INFO     | biot.seeding.seeder | Recomputing all rollup tables after seed...
2026-06-05 14:01:27 | INFO     | biot.database.sensor_repository | recompute_all_rollups complete
2026-06-05 14:01:27 | INFO     | biot.seeding.seeder | Rollup tables ready
2026-06-05 14:01:27 | INFO     | biot.app.main | Starting MCP sensor server on port 8002
2026-06-05 14:01:29 | INFO     | biot.__main__ | Starting BioT Sensor MCP Server on port 8002
2026-06-05 14:01:31 | INFO     | biot.app.main | MCP server ready at http://localhost:8002/mcp (attempt 1)
2026-06-05 14:01:31 | DEBUG    | biot.app.agent | SensorAgent init (provider=openai, model=gpt-4.1, mcp=http://localhost:8002/mcp)
2026-06-05 14:01:31 | INFO     | biot.app.providers | Creating LLM provider: openai (model=gpt-4.1)
2026-06-05 14:01:32 | INFO     | biot.app.agent | SensorAgent ready
2026-06-05 14:01:32 | INFO     | biot.app.main | Agent ready (provider=openai, model=gpt-4.1, mcp=http://localhost:8002/mcp)
2026-06-05 14:01:32 | INFO     | biot.mcp_server.mqtt_subscriber | SensorMqttSubscriber configured (broker=172.20.10.2:1883)
2026-06-05 14:01:32 | INFO     | biot.mcp_server.mqtt_subscriber | Connecting to MQTT broker at 172.20.10.2:1883 (client_id=biot-llm-subscriber-93947c6c)
2026-06-05 14:01:32 | INFO     | biot.mcp_server.mqtt_subscriber | SensorMqttSubscriber started in background thread
2026-06-05 14:01:32 | INFO     | biot.app.main | MQTT subscriber running (broker=172.20.10.2:1883)
2026-06-05 14:01:32 | INFO     | biot.mcp_server.mqtt_subscriber | Connected to MQTT broker — subscribing to sensor topics
2026-06-05 14:01:32 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Bewegung
2026-06-05 14:01:32 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Gyro
2026-06-05 14:01:32 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Magnet
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938603 x=-0.005 y=-0.004 z=9.824
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938611 x=-0.316 y=0.391 z=-0.355
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938613 x=22.550 y=-4.917 z=40.303
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938620 x=0.003 y=-0.000 z=9.815
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938626 x=-0.297 y=0.278 z=0.250
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938628 x=19.486 y=-5.480 z=38.148
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938659 x=0.007 y=0.004 z=9.810
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938666 x=-0.621 y=0.198 z=0.456
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938668 x=18.837 y=-3.951 z=39.550
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938700 x=-0.001 y=-0.001 z=9.805
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938706 x=-0.285 y=-0.713 z=0.758
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938708 x=19.058 y=-4.447 z=40.444
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938740 x=0.009 y=0.004 z=9.808
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938744 x=-0.134 y=-0.064 z=-0.763
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938745 x=18.525 y=-4.777 z=40.900
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938781 x=0.003 y=-0.005 z=9.815
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938786 x=0.297 y=0.406 z=0.593
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938788 x=21.816 y=-4.917 z=39.511
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938822 x=0.009 y=0.008 z=9.799
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938827 x=0.888 y=-0.967 z=0.909
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938829 x=19.692 y=-5.805 z=38.782
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938862 x=0.007 y=0.001 z=9.820
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938866 x=0.249 y=0.272 z=-0.508
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938868 x=20.913 y=-4.911 z=39.869
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938904 x=0.014 y=0.002 z=9.802
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938909 x=-0.075 y=-0.252 z=0.344
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938911 x=20.605 y=-5.310 z=39.712
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938943 x=0.019 y=0.002 z=9.820
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938966 x=0.358 y=-0.451 z=0.164
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938969 x=20.659 y=-5.698 z=38.850
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660938984 x=0.012 y=0.008 z=9.800
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660938990 x=-0.317 y=0.006 z=-0.674
2026-06-05 14:02:18 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660938991 x=18.177 y=-5.424 z=39.960
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939024 x=0.016 y=0.012 z=9.783
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939029 x=-0.316 y=-0.083 z=-0.100
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939031 x=20.996 y=-4.053 z=39.937
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939066 x=0.015 y=0.011 z=9.805
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939072 x=0.423 y=0.493 z=-0.154
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939074 x=20.231 y=-7.526 z=39.963
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939105 x=0.013 y=0.014 z=9.804
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939111 x=-0.491 y=-0.290 z=0.984
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939114 x=20.475 y=-4.174 z=40.892
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939145 x=0.006 y=0.010 z=9.806
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939149 x=0.357 y=-1.308 z=-0.124
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939151 x=18.468 y=-6.453 z=38.573
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939187 x=0.018 y=0.003 z=9.824
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939195 x=0.602 y=-0.024 z=-0.086
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939196 x=17.078 y=-3.337 z=39.707
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939226 x=0.013 y=0.006 z=9.801
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939231 x=1.173 y=-0.491 z=0.039
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939232 x=19.220 y=-6.082 z=40.982
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939267 x=0.006 y=0.003 z=9.795
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939273 x=0.037 y=1.098 z=0.100
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939274 x=19.163 y=-4.521 z=38.926
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939310 x=0.024 y=0.007 z=9.809
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939316 x=-0.380 y=0.343 z=-0.158
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939318 x=18.215 y=-5.704 z=39.933
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939348 x=0.021 y=0.003 z=9.823
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939353 x=0.202 y=1.058 z=0.510
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939355 x=19.298 y=-6.535 z=39.730
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939388 x=0.022 y=0.008 z=9.804
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939396 x=0.528 y=-0.146 z=-0.236
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939399 x=17.229 y=-3.340 z=40.720
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939429 x=0.008 y=0.012 z=9.820
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780660939438 x=0.034 y=-0.291 z=-0.515
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780660939440 x=18.937 y=-4.581 z=40.651
2026-06-05 14:02:19 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780660939470 x=0.021 y=0.006 z=9.806
