2026-06-04 14:17:53 | INFO     | biot.__main__ | Starting uvicorn on 0.0.0.0:8001
2026-06-04 14:17:54 | INFO     | biot.app.main | Starting BioT Sensor Assistant — Settings(provider='openai', model='gpt-4.1', db=..\BioT_Speech_IoT_LLM_App\data\sensor_database.db, mcp=http://localhost:8002/mcp, mqtt=172.20.10.2:1883, server=0.0.0.0:8001)
2026-06-04 14:17:54 | INFO     | biot.app.main | Probing API key (provider=openai, model=gpt-4.1) …
2026-06-04 14:17:57 | INFO     | biot.app.main | API key OK (provider=openai, model=gpt-4.1)
2026-06-04 14:17:58 | INFO     | biot.database.db_context | DbContext initialised (WAL, schema ready): ..\BioT_Speech_IoT_LLM_App\data\sensor_database.db
2026-06-04 14:17:58 | INFO     | biot.app.main | Recomputing rollup tables from existing raw data...
2026-06-04 14:18:00 | INFO     | biot.database.sensor_repository | recompute_all_rollups complete
2026-06-04 14:18:00 | INFO     | biot.app.main | Rollup tables ready
2026-06-04 14:18:01 | INFO     | biot.seeding.seeder | Seeded accel_data: 86400 rows (id 1150147–1236546)
2026-06-04 14:18:02 | INFO     | biot.seeding.seeder | Seeded gyro_data: 86400 rows (id 1150147–1236546)
2026-06-04 14:18:03 | INFO     | biot.seeding.seeder | Seeded magnet_data: 86400 rows (id 1150145–1236544)
2026-06-04 14:18:03 | INFO     | biot.seeding.seeder | Recomputing all rollup tables after seed...
2026-06-04 14:18:05 | INFO     | biot.database.sensor_repository | recompute_all_rollups complete
2026-06-04 14:18:05 | INFO     | biot.seeding.seeder | Rollup tables ready
2026-06-04 14:18:05 | INFO     | biot.app.main | Starting MCP sensor server on port 8002
2026-06-04 14:18:07 | INFO     | biot.__main__ | Starting BioT Sensor MCP Server on port 8002
2026-06-04 14:18:10 | INFO     | biot.app.main | MCP server ready at http://localhost:8002/mcp (attempt 1)
2026-06-04 14:18:10 | DEBUG    | biot.app.agent | SensorAgent init (provider=openai, model=gpt-4.1, mcp=http://localhost:8002/mcp)
2026-06-04 14:18:10 | INFO     | biot.app.providers | Creating LLM provider: openai (model=gpt-4.1)
2026-06-04 14:18:10 | INFO     | biot.app.agent | SensorAgent ready
2026-06-04 14:18:10 | INFO     | biot.app.main | Agent ready (provider=openai, model=gpt-4.1, mcp=http://localhost:8002/mcp)
2026-06-04 14:18:10 | INFO     | biot.mcp_server.mqtt_subscriber | SensorMqttSubscriber configured (broker=172.20.10.2:1883)
2026-06-04 14:18:10 | INFO     | biot.mcp_server.mqtt_subscriber | Connecting to MQTT broker at 172.20.10.2:1883 (client_id=biot-llm-subscriber-8b9457b1)
2026-06-04 14:18:10 | INFO     | biot.mcp_server.mqtt_subscriber | SensorMqttSubscriber started in background thread
2026-06-04 14:18:10 | INFO     | biot.app.main | MQTT subscriber running (broker=172.20.10.2:1883)
2026-06-04 14:18:10 | INFO     | biot.mcp_server.mqtt_subscriber | Connected to MQTT broker — subscribing to sensor topics
2026-06-04 14:18:10 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Bewegung
2026-06-04 14:18:10 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Gyro
2026-06-04 14:18:10 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Magnet
