2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653801 x=0.004 y=0.004 z=9.801
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653814 x=0.164 y=0.315 z=-0.132
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653821 x=21.092 y=-5.035 z=39.937
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653828 x=-0.008 y=-0.005 z=9.808
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653837 x=-0.802 y=0.428 z=-1.203
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653843 x=20.936 y=-4.287 z=41.174
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653848 x=-0.001 y=0.003 z=9.815
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653854 x=-0.730 y=-0.454 z=-0.010
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653859 x=19.613 y=-4.592 z=41.795
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653863 x=-0.002 y=-0.006 z=9.809
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653868 x=0.119 y=0.029 z=0.334
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653873 x=20.320 y=-5.494 z=39.952
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653877 x=-0.008 y=0.006 z=9.813
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653882 x=0.239 y=0.901 z=-0.356
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653886 x=22.104 y=-4.650 z=40.352
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653891 x=-0.009 y=-0.001 z=9.798
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653895 x=-0.924 y=-0.236 z=0.481
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653898 x=19.236 y=-4.199 z=38.945
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653903 x=0.004 y=0.008 z=9.807
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653907 x=-1.178 y=-0.029 z=-0.353
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653911 x=22.547 y=-5.835 z=41.647
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653914 x=0.007 y=-0.001 z=9.803
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653918 x=-0.167 y=0.042 z=-0.433
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653922 x=20.856 y=-4.392 z=41.431
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653924 x=0.001 y=-0.012 z=9.823
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653927 x=-0.898 y=0.012 z=-0.338
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653930 x=18.756 y=-4.343 z=39.199
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653932 x=0.004 y=-0.001 z=9.784
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653935 x=0.177 y=-0.168 z=-0.749
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653938 x=19.914 y=-5.922 z=40.717
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653940 x=0.012 y=-0.005 z=9.814
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653943 x=-0.489 y=0.138 z=0.038
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653947 x=19.529 y=-4.607 z=38.842
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653950 x=0.008 y=-0.004 z=9.807
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653954 x=-0.099 y=0.640 z=-0.707
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653957 x=20.415 y=-5.534 z=38.194
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653960 x=0.010 y=-0.002 z=9.803
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653963 x=0.434 y=0.456 z=0.341
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653965 x=19.238 y=-3.930 z=39.552
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653969 x=0.007 y=0.001 z=9.803
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653972 x=-0.763 y=0.553 z=0.001
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653975 x=19.372 y=-4.403 z=39.446
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653977 x=0.009 y=-0.003 z=9.826
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653979 x=-0.107 y=-0.655 z=0.565
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653981 x=20.813 y=-5.319 z=40.012
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653983 x=0.004 y=0.011 z=9.796
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653986 x=-0.218 y=0.035 z=0.674
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653988 x=19.632 y=-3.616 z=42.544
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653990 x=0.004 y=0.010 z=9.803
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653992 x=0.330 y=-0.828 z=0.665
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491653993 x=19.186 y=-5.231 z=37.702
2026-06-03 15:00:53 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491653995 x=0.005 y=-0.006 z=9.823
2026-06-03 15:00:54 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491653998 x=0.443 y=0.102 z=-0.891
2026-06-03 15:00:54 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491654002 x=21.194 y=-4.147 z=41.037
2026-06-03 15:00:54 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491654004 x=0.003 y=0.006 z=9.813
2026-06-03 15:00:54 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491654007 x=-0.092 y=-0.190 z=-0.856
2026-06-03 15:00:54 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491654009 x=19.553 y=-5.874 z=40.612
2026-06-03 15:00:54 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491654011 x=0.001 y=0.010 z=9.804
2026-06-03 15:00:54 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491654013 x=0.400 y=0.002 z=0.539
2026-06-03 15:00:54 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491654014 x=20.448 y=-5.716 z=40.696
2026-06-03 15:00:54 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491654016 x=-0.001 y=-0.001 z=9.795
2026-06-03 15:00:54 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491654018 x=0.057 y=-1.009 z=-0.106
