2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676225 x=-0.000 y=0.013 z=9.813
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676238 x=0.363 y=-0.179 z=-0.594
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676243 x=19.890 y=-5.721 z=41.526
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676247 x=-0.006 y=-0.003 z=9.815
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676250 x=0.715 y=0.065 z=-0.143
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676252 x=20.417 y=-3.998 z=39.471
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676254 x=0.002 y=-0.004 z=9.820
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676256 x=0.460 y=-0.037 z=0.029
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676258 x=19.994 y=-6.244 z=40.797
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676260 x=-0.002 y=-0.005 z=9.810
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676262 x=-0.414 y=-0.853 z=0.031
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676263 x=18.844 y=-5.991 z=40.209
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676265 x=-0.002 y=0.007 z=9.804
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676267 x=-0.283 y=0.340 z=-0.364
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676269 x=20.092 y=-4.476 z=39.984
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676272 x=-0.001 y=-0.005 z=9.813
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676276 x=0.778 y=0.264 z=0.005
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676280 x=19.078 y=-5.089 z=38.755
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676283 x=0.001 y=-0.003 z=9.827
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676288 x=0.224 y=-0.135 z=0.280
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676291 x=21.261 y=-5.180 z=40.796
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676295 x=-0.004 y=-0.002 z=9.821
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676298 x=0.349 y=-0.166 z=-0.046
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676301 x=18.408 y=-5.064 z=38.341
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676306 x=-0.006 y=-0.003 z=9.818
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676309 x=-0.849 y=0.124 z=1.210
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676312 x=20.628 y=-4.923 z=39.675
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676314 x=0.000 y=-0.013 z=9.809
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676317 x=0.478 y=1.444 z=0.382
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676320 x=19.005 y=-6.067 z=40.389
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676323 x=0.007 y=0.005 z=9.822
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676371 x=-0.129 y=-0.127 z=-0.867
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676374 x=21.572 y=-5.366 z=40.496
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676377 x=-0.000 y=0.010 z=9.795
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676380 x=-0.209 y=0.522 z=-0.640
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676384 x=19.822 y=-4.224 z=40.247
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676388 x=0.004 y=0.002 z=9.805
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676392 x=0.719 y=-0.441 z=0.453
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676395 x=19.080 y=-5.427 z=40.348
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676398 x=0.004 y=-0.001 z=9.819
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676402 x=-0.503 y=0.286 z=0.265
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676406 x=19.733 y=-4.349 z=41.173
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676409 x=-0.003 y=0.006 z=9.802
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676412 x=-0.038 y=-0.639 z=-0.278
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676415 x=18.395 y=-3.125 z=40.899
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676419 x=0.008 y=0.010 z=9.821
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676423 x=-1.082 y=0.110 z=0.498
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676426 x=21.009 y=-4.417 z=40.737
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676430 x=0.007 y=0.005 z=9.806
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676433 x=-0.239 y=-0.110 z=0.312
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676436 x=20.536 y=-6.531 z=40.482
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676439 x=-0.001 y=0.006 z=9.806
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676442 x=-0.970 y=0.179 z=0.510
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676444 x=19.775 y=-4.743 z=37.484
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676446 x=0.005 y=0.010 z=9.825
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676448 x=-0.791 y=-0.362 z=0.292
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676450 x=19.997 y=-5.580 z=38.904
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676452 x=-0.009 y=0.007 z=9.803
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676454 x=-0.244 y=-0.434 z=-0.369
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676456 x=20.206 y=-5.431 z=40.367
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676458 x=0.009 y=-0.002 z=9.806
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676461 x=0.870 y=-0.360 z=0.551
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676462 x=19.355 y=-5.385 z=38.247
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676464 x=0.010 y=-0.003 z=9.817
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676466 x=-0.060 y=-0.165 z=0.319
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676469 x=20.995 y=-3.133 z=38.528
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676471 x=0.004 y=0.003 z=9.810
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676473 x=-0.038 y=0.065 z=-0.075
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_magnet ts=1780491676476 x=17.937 y=-5.229 z=40.636
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491676477 x=-0.001 y=0.007 z=9.805
2026-06-03 15:01:16 | DEBUG    | biot.database.sensor_repository | insert_gyro ts=1780491676479 x=0.344 y=-0.253 z=-0.107
