# run_time            | topic                | sent  | recv  | matched | lost | extra | mismatch | match%  | lat_avg_ms | lat_min_ms | lat_max_ms | drate_log | cfg_rate | qos
2026-06-03 15:15:09  | Sensor/Bewegung      | 22640 | 13865 |   13865 | 8775 |     0 |    13857 |   61.2% |      60169 |          0 |     418000 |      27.1 |    100.0 | 0
2026-06-03 15:15:09  | Sensor/Gyro          | 22640 | 13865 |   13865 | 8775 |     0 |    13853 |   61.2% |      25542 |          0 |      94000 |      27.1 |    100.0 | 0
2026-06-03 15:15:09  | Sensor/Magnet        | 22640 | 13865 |   13865 | 8775 |     0 |    13853 |   61.2% |      25548 |          0 |      94000 |      27.1 |    100.0 | 0
# tol=0.001
2026-06-03 15:27:27  | Sensor/Bewegung      |  1000 |  1000 |    1000 |    0 |     0 |      999 |  100.0% |        117 |          0 |       1000 |      90.9 |    100.0 | 0
2026-06-03 15:27:27  | Sensor/Gyro          |  1000 |  1000 |    1000 |    0 |     0 |     1000 |  100.0% |        119 |          0 |       1000 |      90.9 |    100.0 | 0
2026-06-03 15:27:27  | Sensor/Magnet        |  1000 |  1000 |    1000 |    0 |     0 |      999 |  100.0% |        121 |          0 |       1000 |      90.9 |    100.0 | 0
# tol=0.001
2026-06-03 15:27:45  | Sensor/Bewegung      |  1000 |  1000 |    1000 |    0 |     0 |      999 |  100.0% |         39 |          0 |       1000 |      90.9 |    100.0 | 1
2026-06-03 15:27:45  | Sensor/Gyro          |  1000 |  1000 |    1000 |    0 |     0 |     1000 |  100.0% |         42 |          0 |       1000 |      90.9 |    100.0 | 1
2026-06-03 15:27:45  | Sensor/Magnet        |  1000 |  1000 |    1000 |    0 |     0 |      997 |  100.0% |         45 |          0 |       1000 |      90.9 |    100.0 | 1
# tol=0.001
2026-06-03 15:27:56  | Sensor/Bewegung      |  1000 |  1000 |    1000 |    0 |     0 |      999 |  100.0% |         41 |          0 |       1000 |     100.0 |    100.0 | 2
2026-06-03 15:27:56  | Sensor/Gyro          |  1000 |  1000 |    1000 |    0 |     0 |     1000 |  100.0% |         44 |          0 |       1000 |     100.0 |    100.0 | 2
2026-06-03 15:27:56  | Sensor/Magnet        |  1000 |  1000 |    1000 |    0 |     0 |     1000 |  100.0% |         48 |          0 |       1000 |     100.0 |    100.0 | 2
# tol=0.001
2026-06-04 14:25:33  | Sensor/Bewegung      | 28907 | 21382 |   21382 | 7525  |     0 |    21378 |   74.0% |      20805 |          0 |     231000 |      92.9 |    100.0 | 1
2026-06-04 14:25:33  | Sensor/Gyro          | 28907 |  9695 |    9695 | 19212 |     0 |     9687 |   33.5% |       6407 |          0 |      18000 |      92.9 |    100.0 | 1
2026-06-04 14:25:33  | Sensor/Magnet        | 28907 |  6956 |    6956 | 21951 |     0 |     6951 |   24.1% |       5709 |          0 |      18000 |      92.9 |    100.0 | 1
# tol=0.001
2026-06-04 14:56:30  | Sensor/Bewegung      | 11816 |  8725 |     385 | 11431 |  8340 |      385 |    1.9% |        925 |          0 |       5000 |      39.1 |     40.0 | 1
2026-06-04 14:56:30  | Sensor/Gyro          | 11816 |  2330 |     384 | 11432 |  1946 |      384 |    2.8% |        917 |          0 |       5000 |      39.1 |     40.0 | 1
2026-06-04 14:56:30  | Sensor/Magnet        | 11816 |  1500 |     384 | 11432 |  1116 |      384 |    3.0% |        930 |          0 |       5000 |      39.1 |     40.0 | 1
# tol=0.001
2026-06-04 15:00:34  | Sensor/Bewegung      | 11816 |  8725 |     419 | 11397 |  8306 |      419 |    2.1% |       1325 |          0 |       6000 |      39.1 |     40.0 | 1
2026-06-04 15:00:34  | Sensor/Gyro          | 11816 |  2330 |     419 | 11397 |  1911 |      419 |    3.1% |       1329 |          0 |       6000 |      39.1 |     40.0 | 1
2026-06-04 15:00:34  | Sensor/Magnet        | 11816 |  1500 |     418 | 11398 |  1082 |      418 |    3.2% |       1330 |          0 |       6000 |      39.1 |     40.0 | 1
# tol=0.001
2026-06-04 15:03:11  | Sensor/Bewegung      | 11816 |  8725 |    8725 | 3091 |     0 |     8721 |   73.8% |      39281 |          0 |     295000 |      39.1 |     40.0 | 1
2026-06-04 15:03:11  | Sensor/Gyro          | 11816 |  2330 |    2330 | 9486 |     0 |     2327 |   19.7% |      21044 |          0 |      38000 |      39.1 |     40.0 | 1
2026-06-04 15:03:11  | Sensor/Magnet        | 11816 |  1500 |    1500 | 10316 |     0 |     1500 |   12.7% |      17212 |          0 |      37000 |      39.1 |     40.0 | 1
# tol=0.001
