2026-06-05 13:49:53 | INFO     | biot.__main__ | Starting uvicorn on 0.0.0.0:8001
2026-06-05 13:49:53 | INFO     | biot.app.main | Starting BioT Sensor Assistant — Settings(provider='openai', model='gpt-4.1', db=..\BioT_Speech_IoT_LLM_App\data\sensor_database.db, mcp=http://localhost:8002/mcp, mqtt=172.20.10.2:1883, server=0.0.0.0:8001)
2026-06-05 13:49:53 | INFO     | biot.app.main | Probing API key (provider=openai, model=gpt-4.1) …
2026-06-05 13:49:58 | INFO     | biot.app.main | API key OK (provider=openai, model=gpt-4.1)
2026-06-05 13:49:58 | INFO     | biot.database.db_context | DbContext initialised (WAL, schema ready): ..\BioT_Speech_IoT_LLM_App\data\sensor_database.db
2026-06-05 13:49:58 | INFO     | biot.app.main | Recomputing rollup tables from existing raw data...
2026-06-05 13:50:00 | INFO     | biot.database.sensor_repository | recompute_all_rollups complete
2026-06-05 13:50:00 | INFO     | biot.app.main | Rollup tables ready
2026-06-05 13:50:01 | INFO     | biot.seeding.seeder | Seeded accel_data: 86400 rows (id 1353054–1439453)
2026-06-05 13:50:02 | INFO     | biot.seeding.seeder | Seeded gyro_data: 86400 rows (id 1334972–1421371)
2026-06-05 13:50:03 | INFO     | biot.seeding.seeder | Seeded magnet_data: 86400 rows (id 1331401–1417800)
2026-06-05 13:50:03 | INFO     | biot.seeding.seeder | Recomputing all rollup tables after seed...
2026-06-05 13:50:04 | INFO     | biot.database.sensor_repository | recompute_all_rollups complete
2026-06-05 13:50:04 | INFO     | biot.seeding.seeder | Rollup tables ready
2026-06-05 13:50:04 | INFO     | biot.app.main | Starting MCP sensor server on port 8002
2026-06-05 13:50:07 | INFO     | biot.__main__ | Starting BioT Sensor MCP Server on port 8002
2026-06-05 13:50:08 | INFO     | biot.app.main | MCP server ready at http://localhost:8002/mcp (attempt 1)
2026-06-05 13:50:08 | DEBUG    | biot.app.agent | SensorAgent init (provider=openai, model=gpt-4.1, mcp=http://localhost:8002/mcp)
