2026-06-03 15:00:14 | INFO     | biot.__main__ | Starting uvicorn on 0.0.0.0:8001
2026-06-03 15:00:14 | INFO     | biot.app.main | Starting BioT Sensor Assistant — Settings(provider='openai', model='gpt-4.1', db=..\BioT_Speech_IoT_LLM_App\data\sensor_database.db, mcp=http://localhost:8002/mcp, mqtt=172.20.10.2:1883, server=0.0.0.0:8001)
2026-06-03 15:00:14 | INFO     | biot.app.main | Probing API key (provider=openai, model=gpt-4.1) …
2026-06-03 15:00:17 | INFO     | biot.app.main | API key OK (provider=openai, model=gpt-4.1)
2026-06-03 15:00:17 | INFO     | biot.database.db_context | DbContext initialised (WAL, schema ready): ..\BioT_Speech_IoT_LLM_App\data\sensor_database.db
2026-06-03 15:00:17 | INFO     | biot.app.main | Recomputing rollup tables from existing raw data...
2026-06-03 15:00:17 | INFO     | biot.database.sensor_repository | recompute_all_rollups complete
2026-06-03 15:00:17 | INFO     | biot.app.main | Rollup tables ready
2026-06-03 15:00:18 | INFO     | biot.seeding.seeder | Seeded accel_data: 86400 rows (id 1060747–1147146)
2026-06-03 15:00:19 | INFO     | biot.seeding.seeder | Seeded gyro_data: 86400 rows (id 1060747–1147146)
2026-06-03 15:00:20 | INFO     | biot.seeding.seeder | Seeded magnet_data: 86400 rows (id 1060745–1147144)
2026-06-03 15:00:20 | INFO     | biot.seeding.seeder | Recomputing all rollup tables after seed...
2026-06-03 15:00:20 | INFO     | biot.database.sensor_repository | recompute_all_rollups complete
2026-06-03 15:00:20 | INFO     | biot.seeding.seeder | Rollup tables ready
2026-06-03 15:00:20 | INFO     | biot.app.main | Starting MCP sensor server on port 8002
2026-06-03 15:00:22 | INFO     | biot.__main__ | Starting BioT Sensor MCP Server on port 8002
2026-06-03 15:00:24 | INFO     | biot.app.main | MCP server ready at http://localhost:8002/mcp (attempt 1)
2026-06-03 15:00:24 | DEBUG    | biot.app.agent | SensorAgent init (provider=openai, model=gpt-4.1, mcp=http://localhost:8002/mcp)
2026-06-03 15:00:24 | INFO     | biot.app.providers | Creating LLM provider: openai (model=gpt-4.1)
2026-06-03 15:00:25 | INFO     | biot.app.agent | SensorAgent ready
2026-06-03 15:00:25 | INFO     | biot.app.main | Agent ready (provider=openai, model=gpt-4.1, mcp=http://localhost:8002/mcp)
2026-06-03 15:00:25 | INFO     | biot.mcp_server.mqtt_subscriber | SensorMqttSubscriber configured (broker=172.20.10.2:1883)
2026-06-03 15:00:25 | INFO     | biot.mcp_server.mqtt_subscriber | Connecting to MQTT broker at 172.20.10.2:1883 (client_id=biot-llm-subscriber-86d9e76b)
2026-06-03 15:00:25 | INFO     | biot.mcp_server.mqtt_subscriber | SensorMqttSubscriber started in background thread
2026-06-03 15:00:25 | INFO     | biot.app.main | MQTT subscriber running (broker=172.20.10.2:1883)
2026-06-03 15:00:25 | INFO     | biot.mcp_server.mqtt_subscriber | Connected to MQTT broker — subscribing to sensor topics
2026-06-03 15:00:25 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Bewegung
2026-06-03 15:00:25 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Gyro
2026-06-03 15:00:25 | DEBUG    | biot.mcp_server.mqtt_subscriber | Subscribed: Sensor/Magnet
2026-06-03 15:00:28 | DEBUG    | biot.database.sensor_repository | insert_accel ts=1780491628507 x=0.001 y=0.006 z=9.791
