2026-06-04 14:50:39 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0026,-0.0054,9.8212'
2026-06-04 14:50:39 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.3565,0.2293,0.3263'
2026-06-04 14:50:39 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.7629,-5.1204,40.1902'
2026-06-04 14:50:39 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0032,0.0106,9.8037'
2026-06-04 14:50:39 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.143,0.4022,-0.6295'
2026-06-04 14:50:39 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.1433,-5.6066,40.5765'
2026-06-04 14:50:39 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0013,-0.0015,9.7913'
2026-06-04 14:50:39 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.609,-0.0733,-0.3204'
2026-06-04 14:50:39 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.9982,-4.6772,40.9173'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0068,-0.0019,9.7992'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1961,0.1857,1.1979'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.4247,-6.6007,38.5106'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0024,0.0055,9.8128'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.0362,0.6312,-0.1811'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.4834,-6.2946,40.8658'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0038,0.0033,9.8083'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.6387,0.1157,-0.5649'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.7068,-4.2577,40.5073'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0057,0.0047,9.8018'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.7367,0.1742,0.1179'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.5373,-5.6921,38.2625'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0012,-0.0049,9.7983'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.376,-0.1693,-0.021'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.8435,-2.3594,41.7879'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0014,0.0055,9.8116'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3582,-0.2188,0.4443'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.1221,-4.3732,40.6021'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0032,0.0091,9.8132'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.0104,-0.5944,0.6356'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.1841,-6.4052,40.4763'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0128,0.0043,9.8138'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.4935,0.4167,-0.1016'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.138,-5.0769,39.3967'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0009,0.0037,9.8128'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.0556,-0.0538,0.0553'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.8672,-5.1071,39.7435'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0146,0.0014,9.8139'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.439,-0.1176,0.5558'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.2446,-5.0013,40.8647'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.017,-0.0084,9.8056'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.5425,0.0118,0.5679'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.7568,-5.3427,41.2431'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0115,0.0095,9.8289'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.3814,-0.1183,0.6989'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.2958,-5.371,39.3079'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0088,0.0023,9.8065'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.6455,0.1802,-0.3188'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.8382,-4.8628,42.4902'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0051,0.0014,9.8159'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.0587,-0.3842,0.0227'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.1034,-3.3391,39.7772'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0158,-0.0025,9.8031'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.5849,-0.2655,0.0624'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.6322,-5.3277,40.3673'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0132,0.0039,9.8136'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2286,0.8163,0.0787'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.023,-5.1225,39.9735'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0128,0.0054,9.8115'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2015,-0.0337,0.3421'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.09,-2.6092,40.7194'
2026-06-04 14:50:40 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0054,0.0019,9.819'
