2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0011,-0.0038,9.8037'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.8375,0.8429,-0.3098'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.2404,-5.0361,40.5595'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0022,-0.0015,9.8166'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2423,0.1615,0.5677'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.8271,-4.7782,39.9536'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0079,-0.008,9.8016'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.811,0.924,0.8881'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.5805,-5.0062,40.915'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0056,-0.0062,9.8163'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.6886,0.6036,0.593'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.3604,-4.9681,38.9777'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0019,0.0045,9.8166'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3042,-0.4835,0.6589'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.7452,-4.194,41.218'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0024,-0.005,9.7968'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.9258,-0.043,-0.0079'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.7131,-2.8557,39.42'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0033,-0.0008,9.8007'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.0831,-0.3448,-0.4355'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.8186,-4.5717,38.5743'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0018,-0.0102,9.8167'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.5724,0.5216,0.8718'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.6256,-6.1578,39.3077'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0003,0.0041,9.8292'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.1711,-0.1326,0.1441'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.5802,-6.3754,38.8975'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0068,-0.0007,9.8004'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.268,-0.62,0.3107'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.7628,-5.6561,39.0471'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0019,0.0022,9.8356'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '1.3804,1.8311,0.6818'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.0816,-4.4525,41.1972'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0026,0.0005,9.8267'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2471,0.2054,0.1774'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.9289,-6.086,39.8992'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0046,0.0048,9.8048'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.5879,0.7224,-0.219'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.7578,-4.656,41.2721'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0073,0.0072,9.7977'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2691,0.7176,-0.3853'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.0722,-3.1753,39.0247'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0021,0.0012,9.7853'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.0374,0.1683,0.4656'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.6949,-5.6449,40.6576'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0069,-0.006,9.8105'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.058,0.2466,0.2919'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.31,-5.3603,40.1025'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0051,-0.0058,9.809'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.0205,0.6062,0.0955'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.5946,-5.1537,40.0125'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0007,0.002,9.819'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.8347,0.3551,0.2036'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.5136,-5.4404,38.4939'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0075,0.0091,9.8137'
2026-06-04 14:19:03 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.1087,-0.6252,0.2271'
