2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0051,-0.0025,9.8311'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.499,0.3471,-0.3488'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.5382,-4.6248,39.2523'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0057,0.0037,9.806'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1674,0.3972,0.1964'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '17.7157,-3.7638,39.413'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0036,-0.0008,9.8051'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.7585,0.3398,0.0819'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.4213,-4.0512,41.2687'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0028,-0.0086,9.8175'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1019,0.2697,0.3803'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.1549,-4.8259,41.6509'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0051,0.0025,9.8223'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1287,0.1899,-0.3518'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.1278,-7.1884,41.581'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0083,0.0063,9.8155'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.4448,-0.606,-0.5078'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.1723,-6.9889,39.578'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0072,-0.0025,9.8187'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.0348,-1.0674,-0.8458'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.7696,-4.6214,39.3613'
2026-06-05 13:50:08 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0004,-0.0016,9.7969'
