2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0055,-0.0043,9.8239'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.3162,0.3906,-0.3553'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '22.5497,-4.9172,40.3026'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0032,-0.0001,9.8149'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2973,0.2778,0.2504'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.4858,-5.4798,38.1477'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.007,0.0044,9.8105'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.6212,0.1976,0.4561'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.8375,-3.9515,39.5504'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0011,-0.001,9.8045'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2846,-0.7125,0.7584'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.0577,-4.4472,40.444'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0089,0.0035,9.8076'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.134,-0.0643,-0.7634'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.5253,-4.777,40.9002'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0028,-0.0047,9.8151'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2973,0.4056,0.5927'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.8164,-4.9174,39.5111'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.009,0.0078,9.7989'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.8881,-0.9668,0.9089'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.6916,-5.8047,38.7818'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0072,0.001,9.8197'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2495,0.2716,-0.508'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.9133,-4.9108,39.8687'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0139,0.0021,9.8022'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.0749,-0.2519,0.3441'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.6053,-5.3097,39.7117'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0192,0.0016,9.8199'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3583,-0.451,0.1642'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.6586,-5.6978,38.8496'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0122,0.0077,9.8'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.3168,0.006,-0.674'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.1766,-5.4238,39.9596'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0158,0.012,9.7825'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.3158,-0.0831,-0.1'
2026-06-05 14:02:18 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.9956,-4.0533,39.9365'
2026-06-05 14:02:19 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.015,0.0115,9.8052'
2026-06-05 14:02:19 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.4232,0.4928,-0.1537'
2026-06-05 14:02:19 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.2308,-7.5256,39.9631'
