2026-06-03 14:34:51 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0028,0.0037,9.8168'
2026-06-03 14:34:51 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.0308,-0.6214,0.0467'
2026-06-03 14:34:51 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.5974,-5.2199,40.1867'
2026-06-03 14:35:04 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0018,0.0047,9.8083'
2026-06-03 14:35:04 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1763,0.3053,0.0942'
2026-06-03 14:35:04 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.9572,-3.6198,39.818'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0063,-0.0116,9.8128'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2593,0.6265,-0.573'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.5326,-5.1542,39.0694'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0037,0.0012,9.8161'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.8415,0.0855,-0.0785'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '22.0039,-4.7368,38.8623'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0055,0.0016,9.7938'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.6449,-1.0897,-0.7425'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.4607,-3.7817,40.8421'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0051,0.0074,9.8137'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.9587,0.3447,-0.249'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.1279,-4.6455,39.1314'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0049,-0.0031,9.816'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.8102,-0.1703,0.8091'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.0438,-2.54,40.6275'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0044,0.001,9.8101'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.8674,-0.4233,-0.0794'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.4379,-4.4764,40.5386'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0003,0.0084,9.8044'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2663,0.5573,0.5887'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.3486,-4.1532,39.9775'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0016,0.0019,9.8166'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.1881,-0.0309,-1.3222'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '22.393,-4.5849,41.1082'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.01,0.0038,9.8033'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1491,-0.3391,-0.1595'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.1449,-5.1039,41.2333'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0013,0.0049,9.8026'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2477,0.0595,-0.6527'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.7538,-7.2672,40.0168'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0032,0.0095,9.8029'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.6483,0.8478,-0.0078'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '22.0248,-4.7551,37.9611'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0039,-0.0002,9.8107'
2026-06-03 14:37:30 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.7437,-0.0517,-0.0006'
