2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0044,0.0039,9.8013'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1639,0.3154,-0.1318'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.0916,-5.0346,39.9373'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0083,-0.0053,9.808'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.8016,0.428,-1.2026'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.9361,-4.2871,41.1741'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0008,0.0031,9.8151'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.7297,-0.4542,-0.0104'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.6134,-4.5917,41.7947'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.002,-0.0058,9.8093'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.1193,0.0288,0.3344'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.3201,-5.4942,39.952'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0076,0.0059,9.8128'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2388,0.901,-0.3564'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '22.104,-4.65,40.3516'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.009,-0.0013,9.798'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.9242,-0.2359,0.4807'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.2362,-4.1994,38.9449'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0038,0.0076,9.8072'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-1.178,-0.0289,-0.3526'
2026-06-03 15:00:53 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '22.5469,-5.8347,41.6471'
