2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0002,0.0127,9.8132'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.3628,-0.1792,-0.5941'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.89,-5.7211,41.5261'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0064,-0.0026,9.8145'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.7148,0.0649,-0.1432'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.4173,-3.9985,39.4713'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0019,-0.0035,9.82'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.4602,-0.0367,0.0286'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.9936,-6.2437,40.7972'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0023,-0.0052,9.8098'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.414,-0.8529,0.031'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '18.8436,-5.9913,40.2091'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0023,0.0074,9.8039'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '-0.2833,0.3402,-0.3645'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '20.0919,-4.4755,39.9842'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '-0.0008,-0.0051,9.8129'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.7777,0.2644,0.0052'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '19.0785,-5.0887,38.7547'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Bewegung = '0.0011,-0.0032,9.8266'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Gyro = '0.2235,-0.1345,0.2797'
2026-06-03 15:01:16 | DEBUG    | mockup.publisher | MQTT publish: Sensor/Magnet = '21.2612,-5.1801,40.7958'
